Ottimo acquisto.. Comoda e solida. Lo schienale si reclina in maniera ottimale. Assieme alla sedia sono arrivate 2 rotelle di scorta..,5
"il prodotto è arrivato regolarmente, segnalo difficoltà nell assemblaggio della seduta ai relativi braccioli, in particolare i fori su i braccioli e quelli della seduta non erano perfettamente allineati, per poterla assemblare ho dovuto restringere la testa della vite di fissaggio diversamente non sarebbe stato possibile completare il montaggio. sicuramente un imperfezione nella costruzione dell'oggetto, come già detto ho risolto utilizzando una mola restringendo il diametro della testa della vite fornita.",2
La sedia è come pensavo facile da montare speriamo che duri è comoda sono contento del mio acquisto grazie a voi,4
"Ottima sedia la consiglio, prestare attenzione alle spiegazioni sul montaggio ma nessun problema si monta facilmente. ottimo prezzo e ottima qualità",5
La sedia si monta in pochi minuti e personalmente la trovo comoda e robusta. Le ruote scorrono molto bene anche se purtroppo non sono dotate di fermo-blocco.,4
"La sedia si monta molto facilmente per chi ha un minimo di manualità, le istruzioni sono molto chiare. Imballo adeguato e consegna nei tempi indicati. I materiali all'apparenza sono buoni per il prezzo, qualche sbavatura nelle finiture ma comunque trascurabili, bisognerà vedere la durata nel tempo soprattutto la similpelle di seduta e schienale visto che l'uso è quotidiano da ufficio. Consiglio l'acquisto",4
"Comodissima, materiale ottimo, molto soddisfatto",5
"Come nella foto! Davvero una bella sedia, ottimo acquisto. Comoda e con le parti cromate  è perfetta in qualsiasi ambiente. Consegnata prima del previsto.",5
Arrivate puntuali. sono molto facili da montare (meglio pero essere in due). nei primi utilizzi sembrano molto resistenti fatte con buoni materiali.,5
"Ottimo prodotto,molto semplice da montare e di una comodità pazzesca oltre che bella esteticamente!Sto pensando di acquistarne un’altra per la segreteria!!",5
"Sebbene sia sui 100Kg la sedia, in uso da qualche settimana, non da cenni di cedimenti.Ottima fattura e semplice da montare. Forse la prossima estate noterò la copertura di pelle che non traspira, ma nei mesi invernali sarà più comoda.",5
"Buona robusta e molto comoda. È un po' morbida l'oscillazione della poltrona, manel complesso ha un ottimo rapporto qualità prezzo. Forse ne acquisto un'altra per mio figlio.",5
"Ero un pò titubante, ma alla fine è stato un ottimo investimento. Rispetto a sedie analoghe di qualche anno fa, tra l'altro più costose hanno fatto un salto da gigante. Più leggere, più economiche, più silenziose, più fluide. Perfetta.",5
"Se cercate una sedia per la vostra postazione questa fa al caso vostro. Comoda, elegante e abbastanza resistente. Montaggio abbastanza facile ed intuitivo. Consigliata",5
Ottimo rapporto qualità prezzo. Molto comoda per chi impiega molto tempo seduto. consigliato,5
"Bisogna avere manualità nel montaggio in quanto alcuni fori non sono allineati e si devono forzare nel montaggio, nel complesso ottimo prodotto, usato dai miei figli in maniera barbara, molla e ammortizzatore molto resistente Seduta comoda e schienale rilassante, comoda anche per persone di 180 cm",4
Mi è arrivata con un  giorno di anticipo .. pacco spedizione un po' rovinato ma fortunatamente l'interno era ok ! Sedia bella da vedere e facile da montate. La qualità dei materiali non è il top ma giustamente non costa 500 euro e questo bisogna sottolinearlo ! Soddisfatto dell'acquisto e spero che tra qualche mese i materiali non siano troppo usurati!,4
La sedia é veramente bella e comoda.non ho avuto nessun problema !!! La consiglio a tutti !! La mia valutazione é 5stelle,5
